Date,Latitude,Longtitude,Amplitude,Line,Tower,Distance
01/08/2022 00:13:57.400,18.534,103.611,-20.00kA,230KV_NBG-NNP#12,T19/1~18/2 (1368 m), 100.58 km from NBG [119.32 km]
01/08/2022 00:49:16.700,18.455,103.527,-46.00kA,230KV_NBG-NNP#12,T33/2~33/1 (420 m), 85.57 km from NBG [119.32 km]
01/08/2022 00:49:16.700,18.458,103.557,-18.00kA,230KV_NBG-NNP#12,T30/2~30/1 (107 m), 89.31 km from NBG [119.32 km]
01/08/2022 01:27:15.700,18.357,103.622,-40.00kA,115KV_BKN-PXN,T4/10 (409 m), 4.62 km from BKN [9.65 km]
01/08/2022 02:31:25.500,15.105,104.383,-58.00kA,115KV_SS-UB2#12,T85/2~85/1 (2017 m), 4.33 km from SS [59.97 km]
01/08/2022 02:31:25.600,15.088,104.376,-22.00kA,115KV_SS-UB2#12,T86/2~86/1 (459 m), 3.64 km from SS [59.97 km]
01/08/2022 02:43:21.800,15.105,104.396,-92.00kA,115KV_SS-UB2#12,T84/1~83/3 (1864 m), 5.67 km from SS [59.97 km]
01/08/2022 13:57:49.600,17.827,101.331,-14.00kA,500KV_THI-XYB#12,T35/11~35/10 (1213 m), 22.70 km from THI [200.66 km]
01/08/2022 16:05:23.300,14.916,103.472,24.00kA,115KV_BR-SU2#12,T6/3~6/2 (981 m), 42.04 km from BR [48.33 km]
01/08/2022 16:13:23.900,17.349,103.341,-28.00kA,115KV_NH-PHK,T52/1~52/2 (1235 m), 14.92 km from NH [54.71 km]
01/08/2022 16:14:40.300,17.341,103.306,-34.00kA,115KV_NH-PHK,T48/2~48/3 (1700 m), 10.91 km from NH [54.71 km]
01/08/2022 16:19:44.600,14.894,103.541,-38.00kA,115KV_SKA-SU2,T4/1~3/3 (223 m), 40.46 km from SKA [43.26 km]
01/08/2022 16:19:44.600,14.894,103.541,-38.00kA,230KV_RE2-SU2#12,T141/3 (674 m), 141.94 km from RE2 [144.33 km]
01/08/2022 16:25:02.700,17.346,103.296,-16.00kA,115KV_NH-PHK,T47/2~47/3 (1079 m), 9.93 km from NH [54.71 km]
01/08/2022 16:28:08.400,17.342,103.258,-26.00kA,115KV_NH-PHK,T43/2~43/3 (1393 m), 6.07 km from NH [54.71 km]
